Order Date,Region,Category,Sales,Profit,Month-Year
2013-11-09,South,Furniture,261.96,41.9136,2013-11
2013-11-09,South,Furniture,731.94,219.582,2013-11
2013-06-13,West,Office Supplies,14.62,6.8714,2013-06
2012-10-11,South,Furniture,957.5775,-383.031,2012-10
2012-10-11,South,Office Supplies,22.368,2.5164,2012-10
2011-06-09,West,Furniture,48.86,14.1694,2011-06
2011-06-09,West,Office Supplies,7.28,1.9656,2011-06
2011-06-09,West,Technology,907.152,90.7152,2011-06
2011-06-09,West,Office Supplies,18.504,5.7825,2011-06
2011-06-09,West,Office Supplies,114.9,34.47,2011-06
2011-06-09,West,Furniture,1706.184,85.3092,2011-06
2011-06-09,West,Technology,911.424,68.3568,2011-06
2014-04-16,South,Office Supplies,15.552,5.4432,2014-04
2013-12-06,West,Office Supplies,407.976,132.5922,2013-12
2012-11-22,Central,Office Supplies,68.81,-123.858,2012-11
2012-11-22,Central,Office Supplies,2.544,-3.816,2012-11
2011-11-11,Central,Office Supplies,665.88,13.3176,2011-11
2011-05-13,West,Office Supplies,55.5,9.99,2011-05
2011-08-27,West,Office Supplies,8.56,2.4824,2011-08
2011-08-27,West,Technology,213.48,16.011,2011-08
2011-08-27,West,Office Supplies,22.72,7.384,2011-08
2013-12-10,Central,Office Supplies,19.46,5.0596,2013-12
2013-12-10,Central,Office Supplies,60.34,15.6884,2013-12
2014-07-17,East,Furniture,71.372,-1.0196,2014-07
2012-09-25,West,Furniture,1044.63,240.2649,2012-09
2013-01-16,West,Office Supplies,11.648,4.2224,2013-01
2013-01-16,West,Technology,90.57,11.7741,2013-01
2012-09-17,East,Furniture,3083.43,-1665.0522,2012-09
2012-09-17,East,Office Supplies,9.618,-7.0532,2012-09
2012-09-17,East,Furniture,124.2,15.525,2012-09
2012-09-17,East,Office Supplies,3.264,1.1016,2012-09
2012-09-17,East,Office Supplies,86.304,9.7092,2012-09
2012-09-17,East,Office Supplies,6.858,-5.715,2012-09
2012-09-17,East,Office Supplies,15.76,3.546,2012-09
2014-10-20,Central,Office Supplies,29.472,9.9468,2014-10
2013-12-09,Central,Technology,1097.544,123.4737,2013-12
2013-12-09,Central,Furniture,190.92,-147.963,2013-12
2012-12-27,Central,Office Supplies,113.328,35.415,2012-12
2012-12-27,Central,Furniture,532.3992,-46.9764,2012-12
2012-12-27,Central,Furniture,212.058,-15.147,2012-12
2012-12-27,Central,Technology,371.168,41.7564,2012-12
2014-09-11,Central,Technology,147.168,16.5564,2014-09
2013-07-18,West,Office Supplies,77.88,3.894,2013-07
2014-09-20,South,Office Supplies,95.616,9.5616,2014-09
2013-03-12,Central,Technology,45.98,19.7714,2013-03
2013-03-12,Central,Office Supplies,17.46,8.2062,2013-03
2011-10-20,Central,Office Supplies,211.96,8.4784,2011-10
2013-06-21,East,Technology,45.0,4.95,2013-06
2013-06-21,East,Technology,21.8,6.104,2013-06
2012-04-18,Central,Office Supplies,38.22,17.9634,2012-04
2012-04-18,Central,Office Supplies,75.18,35.3346,2012-04
2012-04-18,Central,Furniture,6.16,2.9568,2012-04
2012-04-18,Central,Furniture,89.99,17.0981,2012-04
2013-12-12,East,Office Supplies,15.26,6.2566,2013-12
2013-12-12,East,Technology,1029.95,298.6855,2013-12
2013-06-18,East,Office Supplies,208.56,52.14,2013-06
2013-06-18,East,Office Supplies,32.4,15.552,2013-06
2013-06-18,East,Furniture,319.41,7.098,2013-06
2013-06-18,East,Office Supplies,14.56,6.9888,2013-06
2013-06-18,East,Technology,30.0,3.3,2013-06
2013-06-18,East,Office Supplies,48.48,16.362,2013-06
2013-06-18,East,Office Supplies,1.68,0.84,2013-06
2012-11-24,West,Technology,13.98,6.1512,2012-11
2012-11-24,West,Office Supplies,25.824,9.3612,2012-11
2012-11-24,West,Office Supplies,146.73,68.9631,2012-11
2012-11-24,West,Furniture,79.76,22.3328,2012-11
2012-04-30,Central,Furniture,213.115,-15.2225,2012-04
2011-12-05,West,Office Supplies,1113.024,111.3024,2011-12
2011-12-05,West,Technology,167.968,62.988,2011-12
2013-06-05,South,Office Supplies,75.88,35.6636,2013-06
2013-09-19,East,Office Supplies,4.616,1.731,2013-09
2014-09-15,Central,Office Supplies,19.05,8.763,2014-09
2012-04-26,South,Furniture,831.936,-114.3912,2012-04
2012-04-26,South,Furniture,97.04,1.213,2012-04
2012-04-26,South,Office Supplies,72.784,-18.196,2012-04
2014-12-10,Central,Office Supplies,1.248,-1.9344,2014-12
2014-12-10,Central,Furniture,9.708,-5.8248,2014-12
2014-12-10,Central,Office Supplies,27.24,2.724,2014-12
2011-11-26,Central,Furniture,19.3,-14.475,2011-11
2013-06-13,South,Office Supplies,208.16,56.2032,2013-06
2013-06-13,South,Office Supplies,16.74,8.0352,2013-06
2011-10-12,West,Office Supplies,14.9,4.172,2011-10
2011-10-12,West,Office Supplies,21.39,6.2031,2011-10
2012-09-03,South,Office Supplies,200.984,62.8075,2012-09
